	Prob	refDem		refPrice
1	0.0125	1.0000000	250.0
2	0.0125	0.9750000	175.0
3	0.0125	0.9500000	100.0
4	0.0125	0.9250000	75.0
5	0.0125	0.9136364	70.0
6	0.0125	0.9022727	65.0
7	0.0125	0.8909091	50.0
8	0.0125	0.8795455	45.0
9	0.0125	0.8681818	40.0
10	0.0125	0.8568182	40.0
11	0.0125	0.8454545	40.0
12	0.0125	0.8340909	40.0
13	0.0125	0.8227273	40.0
14	0.0125	0.8113636	40.0
15	0.0125	0.8000000	40.0
16	0.0125	0.7886364	40.0
17	0.0125	0.7772727	40.0
18	0.0125	0.7659091	40.0
19	0.0125	0.7545455	40.0
20	0.0125	0.7431818	40.0
21	0.0125	0.7318182	40.0
22	0.0125	0.7204545	40.0
23	0.0125	0.7090909	40.0
24	0.0125	0.6977273	40.0
25	0.0125	0.6863636	40.0
26	0.0125	0.6750000	40.0
27	0.0125	0.6636364	40.0
28	0.0125	0.6522727	40.0
29	0.0125	0.6409091	40.0
30	0.0125	0.6295455	40.0
31	0.0125	0.6181818	40.0
32	0.0125	0.6068182	40.0
33	0.0125	0.5954545	40.0
34	0.0125	0.5840909	40.0
35	0.0125	0.5727273	40.0
36	0.0125	0.5613636	40.0
37	0.0125	0.5500000	40.0
38	0.0125	0.5250000	40.0
39	0.0125	0.5000000	40.0
40	0.0125	0.4750000	40.0
41	0.0125	0.9500000	100.0
42	0.0125	0.9250000	75.0
43	0.0125	0.9000000	70.0
44	0.0125	0.8750000	65.0
45	0.0125	0.8636364	55.0
46	0.0125	0.8522727	50.0
47	0.0125	0.8409091	45.0
48	0.0125	0.8295455	40.0
49	0.0125	0.8181818	40.0
50	0.0125	0.8068182	40.0
51	0.0125	0.7954545	40.0
52	0.0125	0.7840909	40.0
53	0.0125	0.7727273	40.0
54	0.0125	0.7613636	40.0
55	0.0125	0.7500000	40.0
56	0.0125	0.7386364	40.0
57	0.0125	0.7272727	40.0
58	0.0125	0.7159091	40.0
59	0.0125	0.7045455	40.0
60	0.0125	0.6931818	40.0
61	0.0125	0.6818182	40.0
62	0.0125	0.6704545	40.0
63	0.0125	0.6590909	40.0
64	0.0125	0.6477273	40.0
65	0.0125	0.6363636	40.0
66	0.0125	0.6250000	40.0
67	0.0125	0.6136364	40.0
68	0.0125	0.6022727	40.0
69	0.0125	0.5909091	40.0
70	0.0125	0.5795455	40.0
71	0.0125	0.5681818	40.0
72	0.0125	0.5568182	40.0
73	0.0125	0.5454545	40.0
74	0.0125	0.5340909	40.0
75	0.0125	0.5227273	40.0
76	0.0125	0.5113636	40.0
77	0.0125	0.5000000	40.0
78	0.0125	0.4750000	40.0
79	0.0125	0.4500000	40.0
80	0.0125	0.4250000	40.0
