	Occurence        dref		refPrice
1	0.000625	1.000000	250
2	0.000625	0.975000	175
3	0.000625	0.950000	100
4	0.000625	0.925000	75
5	0.000625	0.913600	70
6	0.000625	0.902300	65
7	0.000625	0.890900	50
8	0.000625	0.879500	45
9	0.000625	0.868200	40
10	0.000625	0.856800	40
11	0.000625	0.845500	40
12	0.000625	0.834100	40
13	0.000625	0.822700	40
14	0.000625	0.811400	40
15	0.000625	0.800000	40
16	0.000625	0.788600	40
17	0.000625	0.777300	40
18	0.000625	0.765900	40
19	0.000625	0.754500	40
20	0.000625	0.743200	40
21	0.000625	0.731800	40
22	0.000625	0.720500	40
23	0.000625	0.709100	40
24	0.000625	0.697700	40
25	0.000625	0.686400	40
26	0.000625	0.675000	40
27	0.000625	0.663600	40
28	0.000625	0.652300	40
29	0.000625	0.640900	40
30	0.000625	0.629500	40
31	0.000625	0.618200	40
32	0.000625	0.606800	40
33	0.000625	0.595500	40
34	0.000625	0.584100	40
35	0.000625	0.572700	40
36	0.000625	0.561400	40
37	0.000625	0.550000	40
38	0.000625	0.525000	40
39	0.000625	0.500000	40
40	0.000625	0.475000	40
41	0.000625	0.950000	100
42	0.000625	0.925000	75
43	0.000625	0.900000	65
44	0.000625	0.875000	45
45	0.000625	0.863600	40
46	0.000625	0.852300	40
47	0.000625	0.840900	40
48	0.000625	0.829500	40
49	0.000625	0.818200	40
50	0.000625	0.806800	40
51	0.000625	0.795500	40
52	0.000625	0.784100	40
53	0.000625	0.772700	40
54	0.000625	0.761400	40
55	0.000625	0.750000	40
56	0.000625	0.738600	40
57	0.000625	0.727300	40
58	0.000625	0.715900	40
59	0.000625	0.704500	40
60	0.000625	0.693200	40
61	0.000625	0.681800	40
62	0.000625	0.670500	40
63	0.000625	0.659100	40
64	0.000625	0.647700	40
65	0.000625	0.636400	40
66	0.000625	0.625000	40
67	0.000625	0.613600	40
68	0.000625	0.602300	40
69	0.000625	0.590900	40
70	0.000625	0.579500	40
71	0.000625	0.568200	40
72	0.000625	0.556800	40
73	0.000625	0.545500	40
74	0.000625	0.534100	40
75	0.000625	0.522700	40
76	0.000625	0.511400	40
77	0.000625	0.500000	40
78	0.000625	0.475000	40
79	0.000625	0.450000	40
80	0.000625	0.425000	40
81	0.002500	1.000000	250
82	0.002500	0.975000	175
83	0.002500	0.950000	100
84	0.002500	0.925000	75
85	0.002500	0.913600	70
86	0.002500	0.902300	65
87	0.002500	0.890900	50
88	0.002500	0.879500	45
89	0.002500	0.868200	40
90	0.002500	0.856800	40
91	0.002500	0.845500	40
92	0.002500	0.834100	40
93	0.002500	0.822700	40
94	0.002500	0.811400	40
95	0.002500	0.800000	40
96	0.002500	0.788600	40
97	0.002500	0.777300	40
98	0.002500	0.765900	40
99	0.002500	0.754500	40
100	0.002500	0.743200	40
101	0.002500	0.731800	40
102	0.002500	0.720500	40
103	0.002500	0.709100	40
104	0.002500	0.697700	40
105	0.002500	0.686400	40
106	0.002500	0.675000	40
107	0.002500	0.663600	40
108	0.002500	0.652300	40
109	0.002500	0.640900	40
110	0.002500	0.629500	40
111	0.002500	0.618200	40
112	0.002500	0.606800	40
113	0.002500	0.595500	40
114	0.002500	0.584100	40
115	0.002500	0.572700	40
116	0.002500	0.561400	40
117	0.002500	0.550000	40
118	0.002500	0.525000	40
119	0.002500	0.500000	40
120	0.002500	0.475000	40
121	0.002500	0.950000	100
122	0.002500	0.925000	75
123	0.002500	0.900000	65
124	0.002500	0.875000	45
125	0.002500	0.863600	40
126	0.002500	0.852300	40
127	0.002500	0.840900	40
128	0.002500	0.829500	40
129	0.002500	0.818200	40
130	0.002500	0.806800	40
131	0.002500	0.795500	40
132	0.002500	0.784100	40
133	0.002500	0.772700	40
134	0.002500	0.761400	40
135	0.002500	0.750000	40
136	0.002500	0.738600	40
137	0.002500	0.727300	40
138	0.002500	0.715900	40
139	0.002500	0.704500	40
140	0.002500	0.693200	40
141	0.002500	0.681800	40
142	0.002500	0.670500	40
143	0.002500	0.659100	40
144	0.002500	0.647700	40
145	0.002500	0.636400	40
146	0.002500	0.625000	40
147	0.002500	0.613600	40
148	0.002500	0.602300	40
149	0.002500	0.590900	40
150	0.002500	0.579500	40
151	0.002500	0.568200	40
152	0.002500	0.556800	40
153	0.002500	0.545500	40
154	0.002500	0.534100	40
155	0.002500	0.522700	40
156	0.002500	0.511400	40
157	0.002500	0.500000	40
158	0.002500	0.475000	40
159	0.002500	0.450000	40
160	0.002500	0.425000	40
161	0.006250	1.000000	250
162	0.006250	0.975000	175
163	0.006250	0.950000	100
164	0.006250	0.925000	75
165	0.006250	0.913600	70
166	0.006250	0.902300	65
167	0.006250	0.890900	50
168	0.006250	0.879500	45
169	0.006250	0.868200	40
170	0.006250	0.856800	40
171	0.006250	0.845500	40
172	0.006250	0.834100	40
173	0.006250	0.822700	40
174	0.006250	0.811400	40
175	0.006250	0.800000	40
176	0.006250	0.788600	40
177	0.006250	0.777300	40
178	0.006250	0.765900	40
179	0.006250	0.754500	40
180	0.006250	0.743200	40
181	0.006250	0.731800	40
182	0.006250	0.720500	40
183	0.006250	0.709100	40
184	0.006250	0.697700	40
185	0.006250	0.686400	40
186	0.006250	0.675000	40
187	0.006250	0.663600	40
188	0.006250	0.652300	40
189	0.006250	0.640900	40
190	0.006250	0.629500	40
191	0.006250	0.618200	40
192	0.006250	0.606800	40
193	0.006250	0.595500	40
194	0.006250	0.584100	40
195	0.006250	0.572700	40
196	0.006250	0.561400	40
197	0.006250	0.550000	40
198	0.006250	0.525000	40
199	0.006250	0.500000	40
200	0.006250	0.475000	40
201	0.006250	0.950000	100
202	0.006250	0.925000	75
203	0.006250	0.900000	65
204	0.006250	0.875000	45
205	0.006250	0.863600	40
206	0.006250	0.852300	40
207	0.006250	0.840900	40
208	0.006250	0.829500	40
209	0.006250	0.818200	40
210	0.006250	0.806800	40
211	0.006250	0.795500	40
212	0.006250	0.784100	40
213	0.006250	0.772700	40
214	0.006250	0.761400	40
215	0.006250	0.750000	40
216	0.006250	0.738600	40
217	0.006250	0.727300	40
218	0.006250	0.715900	40
219	0.006250	0.704500	40
220	0.006250	0.693200	40
221	0.006250	0.681800	40
222	0.006250	0.670500	40
223	0.006250	0.659100	40
224	0.006250	0.647700	40
225	0.006250	0.636400	40
226	0.006250	0.625000	40
227	0.006250	0.613600	40
228	0.006250	0.602300	40
229	0.006250	0.590900	40
230	0.006250	0.579500	40
231	0.006250	0.568200	40
232	0.006250	0.556800	40
233	0.006250	0.545500	40
234	0.006250	0.534100	40
235	0.006250	0.522700	40
236	0.006250	0.511400	40
237	0.006250	0.500000	40
238	0.006250	0.475000	40
239	0.006250	0.450000	40
240	0.006250	0.425000	40
241	0.002500	1.000000	250
242	0.002500	0.975000	175
243	0.002500	0.950000	100
244	0.002500	0.925000	75
245	0.002500	0.913600	70
246	0.002500	0.902300	65
247	0.002500	0.890900	50
248	0.002500	0.879500	45
249	0.002500	0.868200	40
250	0.002500	0.856800	40
251	0.002500	0.845500	40
252	0.002500	0.834100	40
253	0.002500	0.822700	40
254	0.002500	0.811400	40
255	0.002500	0.800000	40
256	0.002500	0.788600	40
257	0.002500	0.777300	40
258	0.002500	0.765900	40
259	0.002500	0.754500	40
260	0.002500	0.743200	40
261	0.002500	0.731800	40
262	0.002500	0.720500	40
263	0.002500	0.709100	40
264	0.002500	0.697700	40
265	0.002500	0.686400	40
266	0.002500	0.675000	40
267	0.002500	0.663600	40
268	0.002500	0.652300	40
269	0.002500	0.640900	40
270	0.002500	0.629500	40
271	0.002500	0.618200	40
272	0.002500	0.606800	40
273	0.002500	0.595500	40
274	0.002500	0.584100	40
275	0.002500	0.572700	40
276	0.002500	0.561400	40
277	0.002500	0.550000	40
278	0.002500	0.525000	40
279	0.002500	0.500000	40
280	0.002500	0.475000	40
281	0.002500	0.950000	100
282	0.002500	0.925000	75
283	0.002500	0.900000	65
284	0.002500	0.875000	45
285	0.002500	0.863600	40
286	0.002500	0.852300	40
287	0.002500	0.840900	40
288	0.002500	0.829500	40
289	0.002500	0.818200	40
290	0.002500	0.806800	40
291	0.002500	0.795500	40
292	0.002500	0.784100	40
293	0.002500	0.772700	40
294	0.002500	0.761400	40
295	0.002500	0.750000	40
296	0.002500	0.738600	40
297	0.002500	0.727300	40
298	0.002500	0.715900	40
299	0.002500	0.704500	40
300	0.002500	0.693200	40
301	0.002500	0.681800	40
302	0.002500	0.670500	40
303	0.002500	0.659100	40
304	0.002500	0.647700	40
305	0.002500	0.636400	40
306	0.002500	0.625000	40
307	0.002500	0.613600	40
308	0.002500	0.602300	40
309	0.002500	0.590900	40
310	0.002500	0.579500	40
311	0.002500	0.568200	40
312	0.002500	0.556800	40
313	0.002500	0.545500	40
314	0.002500	0.534100	40
315	0.002500	0.522700	40
316	0.002500	0.511400	40
317	0.002500	0.500000	40
318	0.002500	0.475000	40
319	0.002500	0.450000	40
320	0.002500	0.425000	40
321	0.000625	1.000000	250
322	0.000625	0.975000	175
323	0.000625	0.950000	100
324	0.000625	0.925000	75
325	0.000625	0.913600	70
326	0.000625	0.902300	65
327	0.000625	0.890900	50
328	0.000625	0.879500	45
329	0.000625	0.868200	40
330	0.000625	0.856800	40
331	0.000625	0.845500	40
332	0.000625	0.834100	40
333	0.000625	0.822700	40
334	0.000625	0.811400	40
335	0.000625	0.800000	40
336	0.000625	0.788600	40
337	0.000625	0.777300	40
338	0.000625	0.765900	40
339	0.000625	0.754500	40
340	0.000625	0.743200	40
341	0.000625	0.731800	40
342	0.000625	0.720500	40
343	0.000625	0.709100	40
344	0.000625	0.697700	40
345	0.000625	0.686400	40
346	0.000625	0.675000	40
347	0.000625	0.663600	40
348	0.000625	0.652300	40
349	0.000625	0.640900	40
350	0.000625	0.629500	40
351	0.000625	0.618200	40
352	0.000625	0.606800	40
353	0.000625	0.595500	40
354	0.000625	0.584100	40
355	0.000625	0.572700	40
356	0.000625	0.561400	40
357	0.000625	0.550000	40
358	0.000625	0.525000	40
359	0.000625	0.500000	40
360	0.000625	0.475000	40
361	0.000625	0.950000	100
362	0.000625	0.925000	75
363	0.000625	0.900000	65
364	0.000625	0.875000	45
365	0.000625	0.863600	40
366	0.000625	0.852300	40
367	0.000625	0.840900	40
368	0.000625	0.829500	40
369	0.000625	0.818200	40
370	0.000625	0.806800	40
371	0.000625	0.795500	40
372	0.000625	0.784100	40
373	0.000625	0.772700	40
374	0.000625	0.761400	40
375	0.000625	0.750000	40
376	0.000625	0.738600	40
377	0.000625	0.727300	40
378	0.000625	0.715900	40
379	0.000625	0.704500	40
380	0.000625	0.693200	40
381	0.000625	0.681800	40
382	0.000625	0.670500	40
383	0.000625	0.659100	40
384	0.000625	0.647700	40
385	0.000625	0.636400	40
386	0.000625	0.625000	40
387	0.000625	0.613600	40
388	0.000625	0.602300	40
389	0.000625	0.590900	40
390	0.000625	0.579500	40
391	0.000625	0.568200	40
392	0.000625	0.556800	40
393	0.000625	0.545500	40
394	0.000625	0.534100	40
395	0.000625	0.522700	40
396	0.000625	0.511400	40
397	0.000625	0.500000	40
398	0.000625	0.475000	40
399	0.000625	0.450000	40
400	0.000625	0.425000	40
