#id	Occurence	refPrice	low_dlev	medium_dlev	high_dlev
1	0.000625	250	0.8	1	1.2
2	0.001875	150	0.76	0.95	1.14
3	0.0025	100	0.72	0.9	1.08
4	0.0025	80	0.68	0.85	1.02
5	0.0025	60	0.64	0.8	0.96
6	0.0025	55	0.6	0.75	0.9
7	0.0025	45	0.56	0.7	0.84
8	0.0025	45	0.52	0.65	0.78
9	0.0025	45	0.48	0.6	0.72
10	0.0025	45	0.44	0.55	0.66
11	0.001875	45	0.4	0.5	0.6
12	0.000625	45	0.36	0.45	0.54
13	0.000625	100	0.72	0.9	1.08
14	0.001875	80	0.68	0.85	1.02
15	0.0025	60	0.64	0.8	0.96
16	0.0025	55	0.6	0.75	0.9
17	0.0025	45	0.56	0.7	0.84
18	0.0025	45	0.52	0.65	0.78
19	0.0025	45	0.48	0.6	0.72
20	0.0025	45	0.44	0.55	0.66
21	0.0025	45	0.4	0.5	0.6
22	0.0025	45	0.36	0.45	0.54
23	0.001875	45	0.32	0.4	0.48
24	0.000625	45	0.28	0.35	0.42
25	0.0025	250	0.8	1	1.2
26	0.0075	150	0.76	0.95	1.14
27	0.01	100	0.72	0.9	1.08
28	0.01	80	0.68	0.85	1.02
29	0.01	60	0.64	0.8	0.96
30	0.01	55	0.6	0.75	0.9
31	0.01	45	0.56	0.7	0.84
32	0.01	45	0.52	0.65	0.78
33	0.01	45	0.48	0.6	0.72
34	0.01	45	0.44	0.55	0.66
35	0.0075	45	0.4	0.5	0.6
36	0.0025	45	0.36	0.45	0.54
37	0.0025	100	0.72	0.9	1.08
38	0.0075	80	0.68	0.85	1.02
39	0.01	60	0.64	0.8	0.96
40	0.01	55	0.6	0.75	0.9
41	0.01	45	0.56	0.7	0.84
42	0.01	45	0.52	0.65	0.78
43	0.01	45	0.48	0.6	0.72
44	0.01	45	0.44	0.55	0.66
45	0.01	45	0.4	0.5	0.6
46	0.01	45	0.36	0.45	0.54
47	0.0075	45	0.32	0.4	0.48
48	0.0025	45	0.28	0.35	0.42
49	0.00625	250	0.8	1	1.2
50	0.01875	150	0.76	0.95	1.14
51	0.025	100	0.72	0.9	1.08
52	0.025	80	0.68	0.85	1.02
53	0.025	60	0.64	0.8	0.96
54	0.025	55	0.6	0.75	0.9
55	0.025	45	0.56	0.7	0.84
56	0.025	45	0.52	0.65	0.78
57	0.025	45	0.48	0.6	0.72
58	0.025	45	0.44	0.55	0.66
59	0.01875	45	0.4	0.5	0.6
60	0.00625	45	0.36	0.45	0.54
61	0.00625	100	0.72	0.9	1.08
62	0.01875	80	0.68	0.85	1.02
63	0.025	60	0.64	0.8	0.96
64	0.025	55	0.6	0.75	0.9
65	0.025	45	0.56	0.7	0.84
66	0.025	45	0.52	0.65	0.78
67	0.025	45	0.48	0.6	0.72
68	0.025	45	0.44	0.55	0.66
69	0.025	45	0.4	0.5	0.6
70	0.025	45	0.36	0.45	0.54
71	0.01875	45	0.32	0.4	0.48
72	0.00625	45	0.28	0.35	0.42
73	0.0025	250	0.8	1	1.2
74	0.0075	150	0.76	0.95	1.14
75	0.01	100	0.72	0.9	1.08
76	0.01	80	0.68	0.85	1.02
77	0.01	60	0.64	0.8	0.96
78	0.01	55	0.6	0.75	0.9
79	0.01	45	0.56	0.7	0.84
80	0.01	45	0.52	0.65	0.78
81	0.01	45	0.48	0.6	0.72
82	0.01	45	0.44	0.55	0.66
83	0.0075	45	0.4	0.5	0.6
84	0.0025	45	0.36	0.45	0.54
85	0.0025	100	0.72	0.9	1.08
86	0.0075	80	0.68	0.85	1.02
87	0.01	60	0.64	0.8	0.96
88	0.01	55	0.6	0.75	0.9
89	0.01	45	0.56	0.7	0.84
90	0.01	45	0.52	0.65	0.78
91	0.01	45	0.48	0.6	0.72
92	0.01	45	0.44	0.55	0.66
93	0.01	45	0.4	0.5	0.6
94	0.01	45	0.36	0.45	0.54
95	0.0075	45	0.32	0.4	0.48
96	0.0025	45	0.28	0.35	0.42
97	0.000625	250	0.8	1	1.2
98	0.001875	150	0.76	0.95	1.14
99	0.0025	100	0.72	0.9	1.08
100	0.0025	80	0.68	0.85	1.02
101	0.0025	60	0.64	0.8	0.96
102	0.0025	55	0.6	0.75	0.9
103	0.0025	45	0.56	0.7	0.84
104	0.0025	45	0.52	0.65	0.78
105	0.0025	45	0.48	0.6	0.72
106	0.0025	45	0.44	0.55	0.66
107	0.001875	45	0.4	0.5	0.6
108	0.000625	45	0.36	0.45	0.54
109	0.000625	100	0.72	0.9	1.08
110	0.001875	80	0.68	0.85	1.02
111	0.0025	60	0.64	0.8	0.96
112	0.0025	55	0.6	0.75	0.9
113	0.0025	45	0.56	0.7	0.84
114	0.0025	45	0.52	0.65	0.78
115	0.0025	45	0.48	0.6	0.72
116	0.0025	45	0.44	0.55	0.66
117	0.0025	45	0.4	0.5	0.6
118	0.0025	45	0.36	0.45	0.54
119	0.001875	45	0.32	0.4	0.48
120	0.000625	45	0.28	0.35	0.42
