	Occurence	refPrice	low_dlev	medium_dlev	high_dlev
1	0.0125	250	0.6	0.8	1
2	0.0375	150	0.57	0.76	0.95
3	0.05	100	0.54	0.72	0.9
4	0.05	80	0.51	0.68	0.85
5	0.05	60	0.48	0.64	0.8
6	0.05	55	0.45	0.6	0.75
7	0.05	45	0.42	0.56	0.7
8	0.05	45	0.39	0.52	0.65
9	0.05	45	0.36	0.48	0.6
10	0.05	45	0.33	0.44	0.55
11	0.0375	45	0.3	0.4	0.5
12	0.0125	45	0.27	0.36	0.45
13	0.0125	100	0.54	0.72	0.9
14	0.0375	80	0.51	0.68	0.85
15	0.05	60	0.48	0.64	0.8
16	0.05	55	0.45	0.6	0.75
17	0.05	45	0.42	0.56	0.7
18	0.05	45	0.39	0.52	0.65
19	0.05	45	0.36	0.48	0.6
20	0.05	45	0.33	0.44	0.55
21	0.05	45	0.3	0.4	0.5
22	0.05	45	0.27	0.36	0.45
23	0.0375	45	0.24	0.32	0.4
24	0.0125	45	0.21	0.28	0.35
