	Prob	refPrice	low_dlev	medium_dlev	high_dlev
1	0.000625	250	0.5	0.8	1
2	0.000625	175	0.4875	0.78	0.975
3	0.000625	100	0.475	0.76	0.95
4	0.000625	75	0.4625	0.74	0.925
5	0.000625	70	0.4568	0.73088	0.9136
6	0.000625	65	0.45115	0.72184	0.9023
7	0.000625	50	0.44545	0.71272	0.8909
8	0.000625	45	0.43975	0.7036	0.8795
9	0.000625	40	0.4341	0.69456	0.8682
10	0.000625	40	0.4284	0.68544	0.8568
11	0.000625	40	0.42275	0.6764	0.8455
12	0.000625	40	0.41705	0.66728	0.8341
13	0.000625	40	0.41135	0.65816	0.8227
14	0.000625	40	0.4057	0.64912	0.8114
15	0.000625	40	0.4	0.64	0.8
16	0.000625	40	0.3943	0.63088	0.7886
17	0.000625	40	0.38865	0.62184	0.7773
18	0.000625	40	0.38295	0.61272	0.7659
19	0.000625	40	0.37725	0.6036	0.7545
20	0.000625	40	0.3716	0.59456	0.7432
21	0.000625	40	0.3659	0.58544	0.7318
22	0.000625	40	0.36025	0.5764	0.7205
23	0.000625	40	0.35455	0.56728	0.7091
24	0.000625	40	0.34885	0.55816	0.6977
25	0.000625	40	0.3432	0.54912	0.6864
26	0.000625	40	0.3375	0.54	0.675
27	0.000625	40	0.3318	0.53088	0.6636
28	0.000625	40	0.32615	0.52184	0.6523
29	0.000625	40	0.32045	0.51272	0.6409
30	0.000625	40	0.31475	0.5036	0.6295
31	0.000625	40	0.3091	0.49456	0.6182
32	0.000625	40	0.3034	0.48544	0.6068
33	0.000625	40	0.29775	0.4764	0.5955
34	0.000625	40	0.29205	0.46728	0.5841
35	0.000625	40	0.28635	0.45816	0.5727
36	0.000625	40	0.2807	0.44912	0.5614
37	0.000625	40	0.275	0.44	0.55
38	0.000625	40	0.2625	0.42	0.525
39	0.000625	40	0.25	0.4	0.5
40	0.000625	40	0.2375	0.38	0.475
41	0.000625	100	0.475	0.76	0.95
42	0.000625	75	0.4625	0.74	0.925
43	0.000625	65	0.45	0.72	0.9
44	0.000625	45	0.4375	0.7	0.875
45	0.000625	40	0.4318	0.69088	0.8636
46	0.000625	40	0.42615	0.68184	0.8523
47	0.000625	40	0.42045	0.67272	0.8409
48	0.000625	40	0.41475	0.6636	0.8295
49	0.000625	40	0.4091	0.65456	0.8182
50	0.000625	40	0.4034	0.64544	0.8068
51	0.000625	40	0.39775	0.6364	0.7955
52	0.000625	40	0.39205	0.62728	0.7841
53	0.000625	40	0.38635	0.61816	0.7727
54	0.000625	40	0.3807	0.60912	0.7614
55	0.000625	40	0.375	0.6	0.75
56	0.000625	40	0.3693	0.59088	0.7386
57	0.000625	40	0.36365	0.58184	0.7273
58	0.000625	40	0.35795	0.57272	0.7159
