Welfare	cumprob
1209175.19	0
1209175.19	0.01
1209175.19	0.01
1217675.19	0.02
1217675.19	0.04
1217675.19	0.05
1235614.47	0.06
1235614.47	0.08
1235614.47	0.09
1244086.96	0.09
1244086.96	0.1
1244086.96	0.1
1244114.47	0.12
1244114.47	0.16
1244114.47	0.18
1252586.96	0.19
1252586.96	0.21
1252586.96	0.22
1952604.53	0.23
1952841.65	0.24
1952841.65	0.26
1961104.53	0.28
1961341.65	0.3
1961341.65	0.34
2007223.58	0.36
2007388.1	0.38
2007388.1	0.42
2015723.58	0.46
2015888.1	0.5
2015888.1	0.59
2024905.36	0.6
2025047.54	0.61
2025047.54	0.63
2033405.36	0.65
2033547.54	0.67
2033547.54	0.71
2780680.27	0.72
2782816	0.72
2784262.84	0.73
2789180.27	0.75
2791316	0.76
2878740.86	0.77
2882224.62	0.79
2883586.03	0.8
2887240.86	0.82
2890724.62	0.86
2892086.03	0.88
2911704.1	0.88
2914746.88	0.89
2915891.42	0.89
2920204.1	0.9
2923246.88	0.92
2924391.42	0.93


