Welfare	cumprob
1756748.41	0.02
1758785.01	0.04
1758785.01	0.06
1791748.41	0.08
1793785.01	0.1
1793785.01	0.12
1801086.33	0.14
1802499.38	0.16
1802499.38	0.18
1826337.21	0.2
1827414.51	0.22
1827414.51	0.24
1836086.33	0.26
1837499.38	0.28
1837499.38	0.3
1861337.21	0.32
1862414.51	0.34
1862414.51	0.36
1948812.18	0.38
1952285.95	0.4
1953586.14	0.42
1983812.18	0.44
1987285.95	0.46
1988586.14	0.48
2002669.93	0.5
2005080.13	0.52
2005982.24	0.54
2033149.11	0.56
2034986.62	0.58
2035674.38	0.6
2037669.93	0.62
2040080.13	0.64
2040982.24	0.66
2068149.11	0.68
2069986.62	0.7
2070674.38	0.72
2144231.32	0.74
2149100.47	0.76
2152583.81	0.78
2179231.32	0.8
2184100.47	0.82
2187583.81	0.84
2207025.27	0.86
2210403.62	0.88
2212820.46	0.9
2242025.27	0.92
2242177.21	0.94
2244700.08	0.96
2245403.62	0.98
2246542.66	1
2247820.46	1.02
2277177.21	1.04
2279700.08	1.06
2281542.66	1.08


