Welfare	cumprob
1230594.16	0
1230752.31	0
1230752.31	0.01
1231594.16	0.02
1231752.31	0.03
1231752.31	0.05
1258235.43	0.06
1258393.59	0.07
1258393.59	0.09
1259235.43	0.11
1259393.59	0.13
1259393.59	0.17
1267111.22	0.17
1267269.37	0.17
1267269.37	0.18
1268111.22	0.19
1268269.37	0.2
1268269.37	0.22
1953521.17	0.23
1954521.17	0.25
1961022.09	0.27
1961151.09	0.28
1962022.09	0.32
1962151.09	0.34
2015374.75	0.36
2016374.75	0.4
2020672.85	0.44
2020738.73	0.46
2021672.85	0.55
2021738.73	0.59
2035363.32	0.6
2036363.32	0.62
2039943.62	0.64
2040008.44	0.65
2040943.62	0.69
2041008.44	0.71
2777130.53	0.71
2778130.53	0.72
2783313.45	0.72
2783348.89	0.73
2784313.45	0.74
2784348.89	0.76
2887463.93	0.77
2888463.93	0.79
2891935.79	0.8
2892036.2	0.82
2892935.79	0.84
2893036.2	0.88
2922657.85	0.88
2923657.85	0.89
2926655.66	0.89
2926763	0.9
2927655.66	0.91
2927763	0.93
