"welfare"	"prob"
1862414.51	0.02
1827414.51	0.02
2070674.38	0.02
2035674.38	0.02
2281542.66	0.02
2246542.66	0.02
1862414.51	0.02
1827414.51	0.02
2069986.62	0.02
2034986.62	0.02
2279700.08	0.02
2244700.08	0.02
1861337.21	0.02
1826337.21	0.02
2068149.11	0.02
2033149.11	0.02
2277177.21	0.02
2242177.21	0.02
1837499.38	0.02
1802499.38	0.02
2040982.24	0.02
2005982.24	0.02
2247820.46	0.02
2212820.46	0.02
1837499.38	0.02
1802499.38	0.02
2040080.13	0.02
2005080.13	0.02
2245403.62	0.02
2210403.62	0.02
1836086.33	0.02
1801086.33	0.02
2037669.93	0.02
2002669.93	0.02
2242025.27	0.02
2207025.27	0.02
1793785.01	0.02
1758785.01	0.02
1988586.14	0.02
1953586.14	0.02
2187583.81	0.02
2152583.81	0.02
1793785.01	0.02
1758785.01	0.02
1987285.95	0.02
1952285.95	0.02
2184100.47	0.02
2149100.47	0.02
1791748.41	0.02
1756748.41	0.02
1983812.18	0.02
1948812.18	0.02
2179231.32	0.02
2144231.32	0.02
