weight	scen-length	welfare	CS	PS	redi-g	redi-bu	CR
        0.00	        0.01	  1473094.76	  1545508.59	   -64967.18	      215.40	        0.00	        0.00
        0.00	        0.00	  1444294.75	  1545512.47	   -64971.07	      215.40	        0.00	        0.00
        0.00	        0.03	  1638293.90	  1677431.03	   -31561.87	      344.01	        0.00	        0.00
        0.00	        0.00	  1609493.90	  1677430.45	   -31561.29	      344.01	        0.00	        0.00
        0.00	        0.01	  1806874.84	  1773744.69	    40786.42	      425.02	        0.00	        0.00
        0.00	        0.00	  1778074.85	  1773744.49	    40786.62	      425.01	        0.00	        0.00
        0.00	        0.01	  1472950.35	  1545508.47	   -64967.07	      359.80	        0.00	        0.00
        0.00	        0.00	  1444150.35	  1545511.82	   -64970.42	      359.80	        0.00	        0.00
        0.00	        0.04	  1638099.33	  1677431.06	   -31561.90	      538.58	        0.00	        0.00
        0.00	        0.00	  1609299.33	  1677430.55	   -31561.39	      538.58	        0.00	        0.00
        0.00	        0.01	  1806629.26	  1773744.65	    40786.47	      670.60	        0.00	        0.00
        0.00	        0.00	  1777829.26	  1773744.74	    40786.37	      670.60	        0.00	        0.00
        0.00	        0.01	  1472782.43	  1545508.58	   -64967.17	      527.72	        0.00	        0.00
        0.00	        0.00	  1443982.43	  1545512.53	   -64971.13	      527.72	        0.00	        0.00
        0.00	        0.03	  1637883.49	  1677431.03	   -31561.87	      754.42	        0.00	        0.00
        0.00	        0.00	  1609083.49	  1677430.46	   -31561.30	      754.41	        0.00	        0.00
        0.00	        0.01	  1806316.75	  1773744.69	    40786.42	      978.26	        4.85	        0.00
        0.00	        0.00	  1777516.76	  1773744.50	    40786.61	      978.25	        4.85	        0.00
        0.00	        0.03	  1442250.09	  1499923.94	   -50163.23	      279.37	        0.00	        0.00
        0.00	        0.00	  1413450.09	  1499924.16	   -50163.45	      279.37	        0.00	        0.00
        0.00	        0.10	  1602410.96	  1626771.25	   -16680.14	      448.90	        0.00	        0.00
        0.00	        0.01	  1573610.96	  1626771.09	   -16679.98	      448.89	        0.00	        0.00
        0.00	        0.03	  1765925.93	  1721743.60	    51974.80	      561.22	        0.00	        0.00
        0.00	        0.00	  1737125.93	  1721742.55	    51975.85	      561.21	        0.00	        0.00
        0.00	        0.04	  1442063.22	  1499923.94	   -50163.22	      466.24	        0.00	        0.00
        0.00	        0.00	  1413263.22	  1499924.11	   -50163.40	      466.24	        0.00	        0.00
        0.00	        0.13	  1602159.58	  1626771.26	   -16680.14	      700.28	        0.00	        0.00
