weight	scen-length	welfare	CS	PS	redi-g	redi-bu	CR
        0.00	        0.01	  1489795.68	  1545155.75	   -54976.10	        0.00	        0.00	     1266.03
        0.00	        0.00	  1483195.68	  1545154.46	   -54974.95	       -0.01	        0.00	     1266.16
        0.00	        0.03	  1655184.35	  1671736.04	   -16079.36	        0.00	        0.00	     1177.66
        0.00	        0.00	  1648584.35	  1671735.43	   -16078.84	        0.00	        0.00	     1177.76
        0.00	        0.01	  1822690.11	  1758096.87	    65199.52	        0.00	        0.00	     1043.72
        0.00	        0.00	  1816090.11	  1758094.73	    65200.74	       -0.01	        0.00	     1044.64
        0.00	        0.01	  1489452.59	  1546010.68	   -56505.84	        0.00	        0.00	     1597.74
        0.00	        0.00	  1482852.59	  1546010.23	   -56505.51	        0.00	        0.00	     1597.86
        0.00	        0.04	  1654908.34	  1672289.52	   -16942.82	        0.00	        0.00	     1211.65
        0.00	        0.00	  1648308.34	  1672289.29	   -16942.60	        0.00	        0.00	     1211.65
        0.00	        0.01	  1822447.86	  1757540.12	    65532.72	        0.00	        0.00	     1025.01
        0.00	        0.00	  1815847.86	  1757539.11	    65533.65	        0.00	        0.00	     1025.09
        0.00	        0.01	  1488879.26	  1546979.60	   -58995.20	        0.00	        0.00	     2544.85
        0.00	        0.00	  1482279.26	  1546978.81	   -58994.45	       -0.01	        0.00	     2544.88
        0.00	        0.03	  1654384.54	  1672375.22	   -18490.10	        0.00	        0.00	     2149.42
        0.00	        0.00	  1647784.54	  1672374.91	   -18489.81	        0.00	        0.00	     2149.44
        0.00	        0.01	  1821661.99	  1750766.89	    69679.29	        0.00	        0.00	     2865.80
        0.00	        0.00	  1815061.98	  1750765.40	    69680.34	       -0.01	        0.00	     2866.23
        0.00	        0.03	  1449752.34	  1496441.29	   -46576.19	        0.00	        0.00	     1537.23
        0.00	        0.00	  1443152.34	  1496441.20	   -46576.28	        0.00	        0.00	     1537.41
        0.00	        0.10	  1609972.58	  1620846.26	   -10694.37	        0.00	        0.00	     1470.68
        0.00	        0.01	  1603372.58	  1620846.38	   -10694.53	        0.00	        0.00	     1470.72
        0.00	        0.03	  1772396.31	  1704778.43	    68033.59	        0.00	        0.00	     1234.29
        0.00	        0.00	  1765796.31	  1704778.37	    68033.64	        0.00	        0.00	     1234.30
        0.00	        0.04	  1449291.66	  1497528.53	   -48720.24	        0.00	        0.00	     2133.37
        0.00	        0.00	  1442691.66	  1497528.62	   -48720.34	        0.00	        0.00	     2133.37
        0.00	        0.13	  1609606.38	  1621625.54	   -11988.07	        0.00	        0.00	     1618.91
        0.00	        0.01	  1603006.38	  1621625.46	   -11988.01	        0.00	        0.00	     1618.93
        0.00	        0.04	  1772080.74	  1704668.64	    67815.72	        0.00	        0.00	     1246.38
        0.00	        0.00	  1765480.74	  1704668.74	    67815.60	        0.00	        0.00	     1246.40
        0.00	        0.03	  1448536.21	  1498787.53	   -51971.87	        0.00	        0.00	     3370.54
        0.00	        0.00	  1441936.21	  1498787.66	   -51972.00	        0.00	        0.00	     3370.55
        0.00	        0.10	  1608922.67	  1622046.28	   -14284.00	        0.00	        0.00	     2810.39
        0.00	        0.01	  1602322.67	  1622046.13	   -14283.85	        0.00	        0.00	     2810.40
        0.00	        0.03	  1771191.01	  1698532.54	    70983.60	        0.00	        0.00	     3324.87
        0.00	        0.00	  1764591.01	  1698532.77	    70983.35	        0.00	        0.00	     3324.88
        0.00	        0.01	  1277492.22	  1286282.48	   -10592.73	        0.00	        0.00	     3452.47
